,image,head_pose,drowsiness,emotion,label,result,actual
0,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0375.jpg,0.0,Active!!,Frustrated,0.25,0,1
1,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0285.jpg,0.0,Active!!,Engaged,0.85,1,1
2,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0074.jpg,0.0,Active!!,Frustrated,0.25,1,1
3,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0077.jpg,0.0,Active!!,Frustrated,0.25,1,1
4,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0426.jpg,0.0,Active!!,Frustrated,0.25,1,1
5,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0235.jpg,0.0,Active!!,Frustrated,0.25,0,1
6,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0273.jpg,0.0,Active!!,Engaged,0.85,1,1
7,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0307.jpg,0.0,Active!!,Frustrated,0.25,0,1
8,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0444.jpg,0.0,Active!!,Engaged,0.85,1,1
9,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0058.jpg,0.0,Active!!,Frustrated,0.25,0,1
10,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0255.jpg,0.0,Active!!,Engaged,0.25,1,1
11,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0364.jpg,0.0,Active!!,Engaged,0.85,1,1
12,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0246.jpg,1.0,Active!!,Frustrated,0.4,0,1
13,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0337.jpg,0.0,Active!!,Engaged,0.85,1,1
14,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0141.jpg,0.0,Active!!,Engaged,0.85,1,1
15,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0372.jpg,0.0,Active!!,Frustrated,0.25,0,1
16,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0327.jpg,0.0,Active!!,Engaged,0.85,1,1
17,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0165.jpg,0.0,Active!!,Engaged,0.85,1,1
18,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0355.jpg,0.0,Active!!,Confused,0.5,0,1
19,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0006.jpg,0.0,Active!!,Frustrated,0.25,0,1
20,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0070.jpg,0.0,Active!!,Engaged,0.85,1,1
21,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0436.jpg,0.0,Active!!,Engaged,0.85,1,1
22,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0155.jpg,0.0,Active!!,Engaged,0.85,1,1
23,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0450.jpg,0.0,Active!!,Frustrated,0.25,0,1
24,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0240.jpg,0.0,Active!!,Engaged,0.85,1,1
25,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0078.jpg,0.0,Active!!,Engaged,0.85,1,1
26,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0011.jpg,0.0,Active!!,Engaged,0.85,1,1
27,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0404.jpg,0.0,Active!!,Engaged,0.85,1,1
28,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0171.jpg,0.0,Active!!,Engaged,0.85,1,1
29,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0410.jpg,0.0,Active!!,Frustrated,0.25,0,1
30,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0008.jpg,0.0,Active!!,Frustrated,0.25,0,1
31,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0318.jpg,0.0,Active!!,Frustrated,0.25,0,1
32,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0154.jpg,0.0,Active!!,Engaged,0.85,1,1
33,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0429.jpg,0.0,Active!!,Frustrated,0.25,0,1
34,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0061.jpg,0.0,Active!!,Engaged,0.85,1,1
35,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0431.jpg,0.0,Active!!,Frustrated,0.25,0,1
36,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0082.jpg,0.0,Active!!,Frustrated,0.25,0,1
37,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0178.jpg,0.0,Active!!,Frustrated,0.25,0,1
38,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0067.jpg,0.0,Active!!,Frustrated,0.25,0,1
39,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0076.jpg,0.0,Active!!,Engaged,0.85,1,1
40,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0175.jpg,0.0,Active!!,Frustrated,0.25,0,1
41,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0403.jpg,0.0,Active!!,Frustrated,0.25,0,1
42,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0331.jpg,0.0,Active!!,Engaged,0.85,1,1
43,../input/studentengagement/Student-engagement-dataset/Engaged/engaged/0181.jpg,0.0,Active!!,Frustrated,0.25,0,1
