,image,head_pose,drowsiness,emotion,label,result
0,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0106.jpg,0.0,Active!!,Confused,0.5,Not Engaged
1,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0375.jpg,,Active!!,Bored,0.0,Not Engaged
2,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0285.jpg,0.0,Active!!,Confused,0.5,Not Engaged
3,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0074.jpg,0.0,Active!!,Confused,0.5,Not Engaged
4,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0077.jpg,0.0,Active!!,Confused,0.5,Not Engaged
5,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0426.jpg,0.0,Active!!,Confused,0.5,Not Engaged
6,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0235.jpg,0.0,Active!!,Confused,0.5,Not Engaged
7,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0273.jpg,0.0,Active!!,Confused,0.5,Not Engaged
8,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0444.jpg,0.0,Active!!,Confused,0.5,Not Engaged
9,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0058.jpg,0.0,Active!!,Bored,0.0,Not Engaged
10,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0255.jpg,0.0,Active!!,Confused,0.5,Not Engaged
11,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0128.jpg,0.0,Active!!,Confused,0.5,Not Engaged
12,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0364.jpg,0.0,Active!!,Engaged,0.85,Engaged
13,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0246.jpg,0.0,Active!!,Confused,0.5,Not Engaged
14,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0337.jpg,0.0,Active!!,Confused,0.5,Not Engaged
15,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0208.jpg,0.0,Active!!,Confused,0.5,Not Engaged
16,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0141.jpg,0.0,Active!!,Confused,0.5,Not Engaged
17,../input/studentengagement/Student-engagement-dataset/Not engaged/Looking Away/0474.jpg,0.0,Active!!,Confused,0.5,Not Engaged
